question_id,chapter,difficulty,concept,content
fc084299-5fff-4543-b5f6-5a7971b93da6,chuong-3,0.83,office,Phát biểu nào sau đây là SAI khi nói về PowerPoint?
a6d25890-eecd-488a-8b89-2455786b3b80,chuong-3,0.40,office,"Khi thiết kế bản trình chiếu, nếu muốn tạo một slide mới với bố cục so sánh, bạn sẽ thực hiện thao tác nào?"
3d9980e3-3d1c-4932-920e-f94a57340888,chuong-3,0.75,ppt,"Khi làm việc với PowerPoint, để loại bỏ hiệu ứng chuyển slide cho slide hiện tại, bạn cần thực hiện thao tác gì?"
21b80886-9511-4cd4-bde3-1cf1878f21a2,chuong-3,0.56,office,"Trong Microsoft PowerPoint, để hiển thị các slide giúp thuận tiện cho việc sắp xếp, bạn sẽ làm như thế nào?"
239c4195-884a-49ea-80ea-45e18acbe1d4,chuong-3,0.49,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), để thay đổi bố cục của slide hiện tại, bạn sẽ thực hiện thao tác nào?"
14ef74f3-2867-478b-a59f-8ae6bc9bc1d9,chuong-3,0.68,chen-doi-tuong,"Để tạo biểu đồ thể hiện phần trăm của các thành phần so với tổng thể, bạn sẽ chọn loại biểu đồ nào?"
58e6e75e-5897-4a53-bec4-3954176b2422,chuong-3,0.62,office,"Trong Excel, để in trang tính hiện tại, sau khi vào File và chọn Print, bạn sẽ click chọn mục nào trong phần Setting?"
7f84856b-856b-4afc-9419-10b532139567,chuong-3,0.31,cong-thuc-ham,"Công thức nào dưới đây sẽ trả về giá trị TRUE trong Microsoft Excel (2013, 2016, 2019)?"
8184ec54-399c-4336-a303-aa0f7dc958b3,chuong-3,0.99,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), để tạo một slide mới giống hệt slide hiện tại, bạn cần kích chuột phải lên slide đó và chọn tùy chọn nào?"
299a269d-11c9-4ff5-ab2a-d541d3b55f29,chuong-3,0.46,cong-thuc-ham,"Trong Microsoft Excel (2013, 2016, 2019), bạn sẽ sử dụng công thức nào để đếm số ô có giá trị lớn hơn 100 trong phạm vi từ E4 đến E9?"
ef641947-050a-47c2-9a59-8e5d19b2dfc1,chuong-3,0.08,excel,"Trong Microsoft Excel (2013, 2016, 2019), một trang tính có bao nhiêu dòng và cách đánh số của chúng như thế nào?"
9471f9e9-d6fb-48f2-a012-deaa0e1d54d1,chuong-3,0.56,cong-thuc-ham,"Trong Microsoft Excel, tại ô A10 nhập vào công thức =SUM(10, “Hello”). Kết quả trả lại là gì?"
c43ebebb-b60a-4cc2-8f08-5d4b684811be,chuong-3,0.70,cong-thuc-ham,Ý nghĩa của hàm COUNTA là gì trong Microsoft Excel?
7d2bb3f5-fdc4-4794-a593-6893cae8a8ae,chuong-3,0.64,ppt,"Khi làm việc với PowerPoint, để thiết lập hiệu ứng chuyển tiếp cho slide hiện tại, bạn thực hiện như thế nào?"
af166c39-0271-44a9-8b98-5f43269eef7a,chuong-3,0.48,cong-thuc-ham,"Trong Microsoft Excel, giả sử công thức tại ô F3 là =A5+Sheet3!G$4. Sau khi sao chép công thức này từ ô F3 sang ô F4, công thức tại ô F4 sẽ là gì?"
